latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,guests_included,extra_people,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,host_listing_count
40.77374556,-73.95265845,1,1,0,16,6,5,16,4,1250,8,50,3,28,19,45,61,301,25,98,10,10,10,10,10,10,2
40.72295833,-74.00770071,1,0,0,3,1,1,1,4,150,1,0,4,1125,12,12,12,257,23,94,10,9,10,10,10,10,1
40.76819705,-73.94900028,1,0,0,1,1,1,1,4,95,1,0,7,14,0,0,0,153,3,80,10,6,10,10,10,10,1
40.74065061,-73.99374565,1,0,0,6,2.5,2,3,4,495,4,75,1,1125,30,60,90,365,4,90,10,9,10,10,10,9,3
40.85887508,-73.92886263,1,0,1,3,1,1,1,4,69,2,20,4,21,25,55,80,345,89,97,10,10,10,10,8,10,1
40.70687113,-74.0069918,1,0,0,2,1,0,1,4,150,1,0,3,1125,1,12,12,109,11,95,10,10,10,9,9,9,1
40.67422655,-73.94777447,1,0,2,3,1,1,2,4,60,1,0,1,1125,28,58,88,363,4,90,10,9,9,10,9,10,1
40.84467481,-73.9359078,1,0,1,2,1,1,1,4,70,1,20,2,90,30,60,90,365,7,94,9,9,10,10,9,9,1
40.69118106,-73.91309394,1,0,1,2,1,1,1,4,50,2,0,1,18,16,39,69,69,30,93,10,10,10,10,8,9,1
40.85714444,-73.93208803,1,0,0,3,1,1,1,4,120,2,25,2,9,23,53,83,358,12,92,9,8,9,9,9,9,1
40.67209582,-73.95371628,1,0,0,2,1,1,1,4,110,2,20,3,1125,0,0,0,1,3,93,10,10,10,10,7,9,1
40.73619989,-73.98097073,1,0,1,4,1,1,2,4,180,2,30,3,1125,18,40,69,327,3,100,10,10,10,10,10,10,4
40.7045087,-73.93845693,1,3,2,3,1,1,3,4,55,1,50,1,21,30,60,90,298,5,90,9,9,10,10,9,10,2
40.77008714,-73.94927565,1,0,0,2,1,1,1,4,129,1,0,1,1125,0,0,0,1,11,96,10,10,10,10,9,9,1
40.80188961,-73.96494281,1,0,1,2,1,1,1,4,85,1,0,1,1125,5,19,35,294,129,89,9,8,9,9,9,9,1
40.7768971,-73.90880811,1,0,1,3,1,1,1,4,55,2,25,2,1125,28,58,88,363,57,75,8,7,9,9,9,8,19
40.67950155,-74.00999594,1,0,0,5,1,2,2,4,225,4,25,2,1125,30,57,87,362,8,100,10,9,10,9,9,9,2
40.74222673,-73.98242843,1,0,0,3,1,1,2,4,200,2,100,1,1125,30,56,86,361,3,100,10,9,10,10,9,9,1
40.69656813,-73.96686395,1,2,0,2,1,1,1,4,100,1,0,1,30,0,29,29,290,2,86,9,8,10,9,7,8,1
40.73043888,-73.98525653,1,0,1,2,1,1,1,4,89,1,10,1,90,30,60,90,365,2,100,9,8,10,10,10,8,1
40.6874555,-73.92581074,1,0,0,4,1,0,2,4,80,2,20,1,1125,30,60,85,360,21,87,9,9,9,9,8,8,15
40.88435789,-73.91267205,1,0,1,1,1,1,1,4,29,0,0,2,14,13,43,73,348,6,93,9,9,9,10,9,9,1
40.73857744,-73.87718076,1,0,1,2,2,1,1,4,120,1,65,1,15,30,60,90,365,3,96,9,9,10,10,9,9,1
40.72986606,-73.98935244,1,0,0,3,1,1,2,4,300,2,50,2,1125,12,19,19,27,1,100,10,10,10,10,8,10,1
40.69198896,-73.97215926,1,0,1,2,1,1,2,4,154,2,35,4,30,30,60,90,365,6,100,10,9,10,10,10,10,4
40.69259904,-73.91939267,1,1,1,2,3,1,1,4,58,1,0,4,1125,2,24,54,329,9,87,10,9,9,9,8,9,7
40.68495062,-73.92868706,1,1,2,6,1,1,6,4,35,1,30,2,15,30,60,90,365,1,100,8,8,10,10,10,10,13
40.7134595,-73.94482396,1,2,1,2,1,1,1,4,65,1,10,2,1125,0,19,49,324,10,98,9,10,10,10,9,10,1
40.73366202,-74.00651494,1,0,2,2,1,1,1,0,80,1,25,1,4,28,58,88,363,9,93,10,9,10,10,10,9,2
